,Origin_Node,End_Node,Root_Node,Type,Type_detailed,Capacity,Consider_deletion,Notes
0,GWB_MSG,CTY_ALH_INDOOR,CTY_ALH,Groundwater,Groundwater,8812,0,
1,GWB_MSG,CTY_ALH_OUTDOOR,CTY_ALH,Groundwater,Groundwater,8812,0,
2,GWB_MSG,CTY_ARC_INDOOR,CTY_ARC,Groundwater,Groundwater,8361,0,
3,GWB_RAY,CTY_ARC_INDOOR,CTY_ARC,Groundwater,Groundwater,5644,0,
4,GWB_MSG,CTY_ARC_OUTDOOR,CTY_ARC,Groundwater,Groundwater,8361,0,
5,GWB_RAY,CTY_ARC_OUTDOOR,CTY_ARC,Groundwater,Groundwater,5644,0,
6,GWB_MSG,CTY_AZU_INDOOR,CTY_AZU,Groundwater,Groundwater,16487,0,
7,GWB_MSG,CTY_AZU_OUTDOOR,CTY_AZU,Groundwater,Groundwater,16487,0,
8,GWB_HOL,CTY_BHL_INDOOR,CTY_BHL,Groundwater,Groundwater,1311,0,
9,GWB_HOL,CTY_BHL_OUTDOOR,CTY_BHL,Groundwater,Groundwater,1311,0,
10,GWB_SFE,CTY_BUR_INDOOR,CTY_BUR,Groundwater,Groundwater,12759,0,
11,GWB_SFE,CTY_BUR_OUTDOOR,CTY_BUR,Groundwater,Groundwater,12759,0,
12,GWB_CEN,CTY_CER_INDOOR,CTY_CER,Groundwater,Groundwater,4680,0,
13,GWB_CEN,CTY_CER_OUTDOOR,CTY_CER,Groundwater,Groundwater,4680,0,
14,GWB_MSG,CTY_COV_INDOOR,CTY_COV,Groundwater,Groundwater,6578,0,
15,GWB_MSG,CTY_COV_OUTDOOR,CTY_COV,Groundwater,Groundwater,6578,0,
16,GWB_CEN,CTY_DOW_INDOOR,CTY_DOW,Groundwater,Groundwater,16553,0,
17,GWB_CEN,CTY_DOW_OUTDOOR,CTY_DOW,Groundwater,Groundwater,16553,0,
18,GWB_MSG,CTY_ELM_INDOOR,CTY_ELM,Groundwater,Groundwater,2784,0,
19,GWB_MSG,CTY_ELM_OUTDOOR,CTY_ELM,Groundwater,Groundwater,2784,0,
20,GWB_SFE,CTY_GDL_INDOOR,CTY_GDL,Groundwater,Groundwater,27086,0,
21,GWB_VER,CTY_GDL_INDOOR,CTY_GDL,Groundwater,Groundwater,3856,0,
22,GWB_SFE,CTY_GDL_OUTDOOR,CTY_GDL,Groundwater,Groundwater,27086,0,
23,GWB_VER,CTY_GDL_OUTDOOR,CTY_GDL,Groundwater,Groundwater,3856,0,
24,GWB_MSG,CTY_GDR_INDOOR,CTY_GDR,Groundwater,Groundwater,9428,0,
25,GWB_MSG,CTY_GDR_OUTDOOR,CTY_GDR,Groundwater,Groundwater,9428,0,
26,GWB_CEN,CTY_HUP_INDOOR,CTY_HUP,Groundwater,Groundwater,3853,0,
27,GWB_CEN,CTY_HUP_OUTDOOR,CTY_HUP,Groundwater,Groundwater,3853,0,
28,GWB_WCS,CTY_ING_INDOOR,CTY_ING,Groundwater,Groundwater,4450,0,
29,GWB_WCS,CTY_ING_OUTDOOR,CTY_ING,Groundwater,Groundwater,4450,0,
30,GWB_SIX,CTY_LAV_INDOOR,CTY_LAV,Groundwater,Groundwater,1330,0,
31,GWB_SIX,CTY_LAV_OUTDOOR,CTY_LAV,Groundwater,Groundwater,1330,0,
32,GWB_CEN,CTY_LAX_INDOOR,CTY_LAX,Groundwater,Groundwater,17236,0,
33,GWB_CEN,CTY_LAX_OUTDOOR,CTY_LAX,Groundwater,Groundwater,17236,0,
34,GWB_SFE,CTY_LAX_INDOOR,CTY_LAX,Groundwater,Groundwater,300000,0,far exceeds safe yield of San Fernando Basin
35,GWB_SFE,CTY_LAX_OUTDOOR,CTY_LAX,Groundwater,Groundwater,300000,0,far exceeds safe yield of San Fernando Basin
36,GWB_SYL,CTY_LAX_INDOOR,CTY_LAX,Groundwater,Groundwater,12305,0,
37,GWB_SYL,CTY_LAX_OUTDOOR,CTY_LAX,Groundwater,Groundwater,12305,0,
38,GWB_CEN,CTY_LBH_INDOOR,CTY_LBH,Groundwater,Groundwater,32692,0,
39,GWB_CEN,CTY_LBH_OUTDOOR,CTY_LBH,Groundwater,Groundwater,32692,0,
40,GWB_CEN,CTY_LKW_INDOOR,CTY_LKW,Groundwater,Groundwater,9432,0,
41,GWB_CEN,CTY_LKW_OUTDOOR,CTY_LKW,Groundwater,Groundwater,9432,0,
42,GWB_WCS,CTY_LOM_INDOOR,CTY_LOM,Groundwater,Groundwater,1352,0,based on 2020 UWMP
43,GWB_WCS,CTY_LOM_OUTDOOR,CTY_LOM,Groundwater,Groundwater,1352,0,based on 2020 UWMP
44,GWB_CEN,CTY_LYN_INDOOR,CTY_LYN,Groundwater,Groundwater,8200,0,
45,GWB_CEN,CTY_LYN_OUTDOOR,CTY_LYN,Groundwater,Groundwater,8200,0,
46,GWB_WCS,CTY_MBC_INDOOR,CTY_MBC,Groundwater,Groundwater,1131,0,
47,GWB_WCS,CTY_MBC_OUTDOOR,CTY_MBC,Groundwater,Groundwater,1131,0,
48,GWB_MSG,CTY_MON_INDOOR,CTY_MON,Groundwater,Groundwater,7214,0,
49,GWB_MSG,CTY_MON_OUTDOOR,CTY_MON,Groundwater,Groundwater,7214,0,
50,GWB_MSG,CTY_MTP_INDOOR,CTY_MTP,Groundwater,Groundwater,9000,0,revised based on 2020 UWMP
51,GWB_MSG,CTY_MTP_OUTDOOR,CTY_MTP,Groundwater,Groundwater,9000,0,revised based on 2020 UWMP
52,GWB_CEN,CTY_NOR_INDOOR,CTY_NOR,Groundwater,Groundwater,2273,0,
53,GWB_CEN,CTY_NOR_OUTDOOR,CTY_NOR,Groundwater,Groundwater,2273,0,
54,GWB_CEN,CTY_PAR_INDOOR,CTY_PAR,Groundwater,Groundwater,5883,0,
55,GWB_CEN,CTY_PAR_OUTDOOR,CTY_PAR,Groundwater,Groundwater,5883,0,
56,GWB_RAY,CTY_PAS_INDOOR,CTY_PAS,Groundwater,Groundwater,12807,0,
57,GWB_RAY,CTY_PAS_OUTDOOR,CTY_PAS,Groundwater,Groundwater,12807,0,
58,GWB_CEN,CTY_PCR_INDOOR,CTY_PCR,Groundwater,Groundwater,5579,0,
59,GWB_CEN,CTY_PCR_OUTDOOR,CTY_PCR,Groundwater,Groundwater,5579,0,
60,GWB_CHI,CTY_PNM_INDOOR,CTY_PNM,Groundwater,Groundwater,11215,0,
61,GWB_CHI,CTY_PNM_OUTDOOR,CTY_PNM,Groundwater,Groundwater,11215,0,
62,GWB_SPA,CTY_PNM_INDOOR,CTY_PNM,Groundwater,Groundwater,250,0,
63,GWB_SPA,CTY_PNM_OUTDOOR,CTY_PNM,Groundwater,Groundwater,250,0,
